P/N,NTCG064BF473FTBX,,,,,
R25,47,kĦ +/-,1,%,,
B25/50,4050,K  +/- ,1,%,,
 ,,,,,,
Temp,Min,Nom,Max,B25/T, -dT,dT
(degC),(k ohm),(k ohm),(k ohm),(K),(degC),(degC)
78,5.709,5.888,6.072,4103,-0.9,0.9
79,5.517,5.692,5.872,4105,-0.9,0.9
80,5.331,5.502,5.678,4106,-1,1
81,5.153,5.32,5.492,4108,-1,1
82,4.981,5.144,5.312,4110,-1,1
83,4.817,4.976,5.14,4111,-1,1
84,4.658,4.813,4.973,4113,-1,1
85,4.505,4.657,4.814,4114,-1,1
86,4.358,4.506,4.659,4116,-1,1
87,4.216,4.361,4.511,4118,-1.1,1.1
88,4.08,4.222,4.368,4119,-1.1,1.1
89,3.949,4.087,4.23,4120,-1.1,1.1
90,3.823,3.958,4.098,4122,-1.1,1.1
91,3.701,3.833,3.97,4123,-1.1,1.1
92,3.583,3.712,3.846,4125,-1.1,1.1
93,3.47,3.596,3.727,4126,-1.2,1.2
94,3.361,3.484,3.612,4128,-1.2,1.2
95,3.255,3.376,3.501,4129,-1.2,1.2
96,3.154,3.272,3.394,4131,-1.2,1.2
97,3.057,3.172,3.291,4132,-1.2,1.2
98,2.962,3.075,3.192,4134,-1.2,1.2
99,2.872,2.982,3.096,4135,-1.3,1.3
100,2.783,2.891,3.002,4137,-1.3,1.3
101,2.699,2.804,2.913,4138,-1.3,1.3
102,2.617,2.72,2.827,4139,-1.3,1.3
103,2.538,2.639,2.743,4141,-1.3,1.3
104,2.463,2.561,2.663,4142,-1.3,1.3
105,2.389,2.485,2.585,4143,-1.4,1.4
106,2.318,2.412,2.51,4145,-1.4,1.4
107,2.249,2.341,2.436,4146,-1.4,1.4
108,2.183,2.273,2.366,4147,-1.4,1.4
109,2.119,2.207,2.298,4149,-1.4,1.4
110,2.057,2.143,2.232,4150,-1.4,1.4
111,1.998,2.082,2.169,4151,-1.5,1.5
112,1.94,2.022,2.107,4153,-1.5,1.5
113,1.884,1.964,2.048,4154,-1.5,1.5
